Year GDP    CPI  UNRATE  
 1948 2118.5   24     3.8
 1949 2106.6 23.8       6
 1950 2289.5 24.1     5.2
 1951 2473.8   26     3.3
 1952 2574.9 26.6       3
 1953 2695.6 26.8     2.9
 1954   2680 26.9     5.6
 1955 2871.2 26.8     4.4
 1956 2932.4 27.2     4.1
 1957 2994.1 28.1     4.3
 1958   2972 28.9     6.8
 1959 3178.2 29.2     5.4
 1960   3260 29.6     5.5
 1961 3343.5 29.9     6.7
 1962 3548.4 30.3     5.6
 1963 3702.9 30.6     5.6
 1964 3916.3   31     5.2
 1965 4170.7 31.5     4.5
 1966 4445.9 32.5     3.8
 1967 4567.8 33.4     3.8
 1968 4792.3 34.8     3.6
 1969 4942.1 36.7     3.5
 1970 4951.3 38.8       5
 1971 5114.3 40.5       6
 1972 5383.3 41.8     5.6
 1973 5687.2 44.4     4.9
 1974 5656.5 49.3     5.6
 1975 5644.8 53.8     8.5
 1976   5949 56.9     7.7
 1977 6224.1 60.6       7
 1978 6568.6 65.2     6.1
 1979 6776.6 72.6     5.9
 1980 6759.2 82.4     7.2
 1981 6930.7 90.9     7.6
 1982 6805.8 96.5     9.7
 1983 7117.7 99.6     9.6
 1984 7632.8103.9     7.5
 1985 7951.1107.6     7.2
 1986 8226.4109.7       7
 1987   8511113.6     6.2
 1988 8866.5118.3     5.5
 1989 9192.1123.9     5.3
 1990 9365.5130.7     5.6
 1991 9355.4136.2     6.8
 1992 9684.9140.3     7.5
 1993 9951.5144.5     6.9
 199410352.4148.2     6.1
 199510630.3152.4     5.6
 199611031.3156.9     5.4
 199711521.9160.5     4.9
 199812038.3  163     4.5
 199912610.5166.6     4.2
 2000  13131172.2       4
 200113262.1  177     4.7
 200213493.1179.9     5.8
 200313879.1  184       6
 200414406.4188.9     5.5
 200514912.5195.3     5.1
 200615338.3201.6     4.6
 2007  15626207.3     4.6
 200815604.7215.3     5.8
 200915208.8214.6     9.3
 201015598.8218.1     9.6
 201115840.7224.9     8.9
 2012  16197229.6     8.1
 201316495.4  233     7.4
 2014  16912236.7     6.2
 201517432.2  237     5.3
 201617730.5  240     4.9
 201718144.1245.1     4.3
 201818687.8251.1     3.9
 201919091.7255.7     3.7
